,0
5f2bcbed298ca6cfdbdce9a1ac0188cb,93838.0
63cc69c3fd4d13da3fda59a6cc760663,21651.0
25422d2642ac3f3a2da5e0294184c533,15803.0
d14c5104e2b7aae46107c03d432d5e74,9735.0
74f9b4fbdc172d91d2fd775ce55a4cd1,9666.0
5c28d71cd5c62ec257673af72ca68e38,8891.0
a6c8b108f7a6e70b80d12beea9637110,8628.0
a6a2bd2f5c2d903dcd825dd9a517a2be,8518.0
fd9ca90aec014335be5e5e2e1e1cdd79,8371.0
de4cef96f9618c79e7a69449fb225021,7399.0
3336952299a06f2ff9b7dade24ad66b3,7232.0
96c0c1410e1916c5ea875637f554b232,6776.0
6a95deef830d09eb0feb059f6e32e720,6426.0
a66f6988ac6f92c50f10b3c4d7bb5d2a,6256.0
7a4b6f61c56e5aca0e1f40b0331c7e4c,6151.0
d6c8977fbb15aeabfa3e7d02954bebc4,6049.0
a28eafc57baa9aa7adb7c5c048123b8e,5899.0
ab9c04d4664729d374c14934dfc9594b,5293.0
da85074faa22dc6cbccf422b893a71c4,5207.0
88ed38c533e2497e407d4c6ac6dc0735,4997.0
e481581344c912b84c487dfa1d063412,4948.0
88312bb340f814bb881085953b4cfad4,4620.0
91829c8eeac6dc9f221559b7c81c7cc8,4460.0
8d696eb7c4d5129122b9d07dd20741a2,4208.0
24fff9a1465d04c18b13788df228b8bc,3913.0
8f464b3d12c8d25780ebfac3a7bb6a60,3908.0
d24e63015dab5e80f165040052a278e1,3595.0
5d350443aeff292be79f73282b632ea6,3483.0
b12af29efd07bcc904c005dd4128c047,3283.0
be5830bb60950c5ddf2ac96aace7fa60,2996.0
cbe830a5941904973788c39d44a1b11c,2942.0
a76a09f97b819371e811a47b846c08e3,2920.0
aea6a50cca25f879c06cbffd60e46f2e,2896.0
c1270ae97424da6ad2efe93a0f779a0d,2646.0
98d897743368a2146bff2a8cf5c23235,2628.0
f33678594bb8c4d2eb6789ce865f9235,2468.0
89ad52e6efa3b9a7f2ad62efb30483b3,2451.0
f0944129e74d1f24c436d84162b3d74b,2342.0
f7fffe666b6e28c6b8458b84f48a4d70,2216.0
34a03a096388427633126f8456fa5900,2166.0
8833d66d3bc9c21e118c0f9ba4d2a622,2008.0
46389ee166ccd0ac236d93e2bc18d11c,1945.0
568df501483264ad7d76685b5b0d60ce,1854.0
8b42a523bb2443ae888b856b2ad96b0e,1834.0
28ab12741ffd7051cd9e7e7744e1dd44,1810.0
879ef4813d18583f0d2bb0a92d5795bf,1783.0
c9ea47a4e4147cefb48bfe63ef1f8191,1773.0
a14ebf849b69a71b33c1fcc43ab6f1a5,1710.0
6a3d9af32deabc303e73e6ace82713b2,1698.0
5572ee4e7d68532acdf9fef25b287525,1691.0
326ff1154173fd3536513bec86e2f4af,1618.0
4f3c69fa88aa376edffff7a3a5a79194,1616.0
6a83af788a08573c65908b1980380655,1611.0
6e55f66106e0c9f8b4d0c816667eea0d,1611.0
f37e7eea6aba28c705062737f2e1dd19,1604.0
c2d2ca9b3f491b3b6006bc5b8ee66ea8,1600.0
0f5c79bc0eeeaf4249525180af91d7ef,1537.0
b2c22de45a21bc14cff5607ee8344156,1488.0
